P3A12_1_3;Peptidase T
P3A6_1_3;Peptidase T
P3A8_1_2;Peptidase T
P3B5_1;Peptidase T
T1C3_1_4;Peptidase T
T1F10_1_5;Peptidase T
T2A2_1_3;Peptidase T
T2A7_1;Peptidase T
T2C8_1;Peptidase T
T2D9_1_4;Peptidase T
T2F11_1_3;Peptidase T
T2G6_1;Peptidase T
T2G6_2;Peptidase T
T2H3_1_3;Peptidase T
T2H4_1;Peptidase T
T3B1_1_3;Peptidase T
P2A8_1_4;Peptidase E
P2B2_1_4;Peptidase E
P2E4_1_2;Peptidase E
P1A10_1_6;Xaa-Pro dipeptidyl-peptidase
P1A1_1_5;Xaa-Pro dipeptidyl-peptidase
P1A4_1_6;Xaa-Pro dipeptidyl-peptidase
P1A6_1_5;Xaa-Pro dipeptidyl-peptidase
P1A8_1_4;Xaa-Pro dipeptidyl-peptidase
P1D11_1_2;Xaa-Pro dipeptidyl-peptidase
P1E1_1_4;Xaa-Pro dipeptidyl-peptidase
P1E3_1;Xaa-Pro dipeptidyl-peptidase
P1E7_1_5;Xaa-Pro dipeptidyl-peptidase
P1F10_1_2;Xaa-Pro dipeptidyl-peptidase
P1F3_1_2;Xaa-Pro dipeptidyl-peptidase
P1F7_1_6;Xaa-Pro dipeptidyl-peptidase
P1F8_1_5;Xaa-Pro dipeptidyl-peptidase
P1G2_1_2;Xaa-Pro dipeptidyl-peptidase
P1G9_1;Xaa-Pro dipeptidyl-peptidase
P2A8_1_5;Xaa-Pro dipeptidyl-peptidase
P2B1_1_2;Xaa-Pro dipeptidyl-peptidase
P2B2_1_5;Xaa-Pro dipeptidyl-peptidase
P2B4_1;Xaa-Pro dipeptidyl-peptidase
P2C4_1;Xaa-Pro dipeptidyl-peptidase
P2F4_1;Xaa-Pro dipeptidyl-peptidase
P2F6_1;Xaa-Pro dipeptidyl-peptidase
P2G10_1_3;Xaa-Pro dipeptidyl-peptidase
P3A10_1_3;Xaa-Pro dipeptidyl-peptidase
P3A11_1_4;Xaa-Pro dipeptidyl-peptidase
P3A12_1_4;Xaa-Pro dipeptidyl-peptidase
P3A6_1_4;Xaa-Pro dipeptidyl-peptidase
P3A7_1_2;Xaa-Pro dipeptidyl-peptidase
T1A1_1;Xaa-Pro dipeptidyl-peptidase
T1C3_1_5;Xaa-Pro dipeptidyl-peptidase
T1F10_1_6;Xaa-Pro dipeptidyl-peptidase
T1F7_1_2;Xaa-Pro dipeptidyl-peptidase
T1F9_1;Xaa-Pro dipeptidyl-peptidase
T1F9_2_2;Xaa-Pro dipeptidyl-peptidase
T1G1_1;Xaa-Pro dipeptidyl-peptidase
T2A2_1_4;Xaa-Pro dipeptidyl-peptidase
T2A8_1;Xaa-Pro dipeptidyl-peptidase
T2D9_1_5;Xaa-Pro dipeptidyl-peptidase
T2F11_1_4;Xaa-Pro dipeptidyl-peptidase
T2F6_1_4;Xaa-Pro dipeptidyl-peptidase
T2G11_1;Xaa-Pro dipeptidyl-peptidase
T2G11_2;Xaa-Pro dipeptidyl-peptidase
T2G2_1;Xaa-Pro dipeptidyl-peptidase
T2H3_1_4;Xaa-Pro dipeptidyl-peptidase
T3A1_1_2;Xaa-Pro dipeptidyl-peptidase
T3B1_1_4;Xaa-Pro dipeptidyl-peptidase
T3B2_1;Xaa-Pro dipeptidyl-peptidase
T3B5_1;Xaa-Pro dipeptidyl-peptidase
P1A10_1_7;Glutamyl aminopeptidase
P1A1_1_6;Glutamyl aminopeptidase
P1A4_1_7;Glutamyl aminopeptidase
P1A6_1_6;Glutamyl aminopeptidase
